Model,Accuracy,Precision,Recall,F1,ROC-AUC
Baseline SVM,0.7867803837953091,0.6401515151515151,0.45187165775401067,0.5297805642633229,0.7735206112718783
Tuned SVM,0.7945984363894811,0.6450511945392492,0.5053475935828877,0.5667166416791605,0.8236898913397974
Tuned SVM + Threshold,0.767590618336887,0.55119825708061,0.6764705882352942,0.6074429771908764,0.8236898913397974
