model,accuracy,precision,recall,f1,roc_auc,best_cv_f1,best_params
Logistic Regression,0.7945984363894811,0.6402640264026402,0.5187165775401069,0.5731166912850812,0.8358086876394489,0.6034287712933827,"{'model__C': 10, 'model__penalty': 'l2'}"
SVM,0.7945984363894811,0.6450511945392492,0.5053475935828877,0.5667166416791605,0.8236898913397974,0.5961529231896661,"{'model__C': 0.1, 'model__kernel': 'linear'}"
Random Forest,0.7931769722814499,0.6509090909090909,0.4786096256684492,0.551617873651772,0.8384125981643209,0.5894065698271383,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
