Metric,RF_Mean,RF_Std,LR_Mean,LR_Std,Difference (RF - LR)
Accuracy,0.7734627570153886,0.01874035609217734,0.8021896822061295,0.011352725142389865,-0.028726925190740937
Precision,0.556193813605937,0.02756331617334347,0.6537080119295149,0.025134796003838732,-0.09751419832357788
Recall,0.7351302397791961,0.031037614945984216,0.5446639066183658,0.03867880422717927,0.19046633316083028
F1,0.6331481064495972,0.028076038344190535,0.5936129966974021,0.028585878509993216,0.0395351097521951
ROC-AUC,0.8452113724031912,0.01353407509168837,0.8427471687970813,0.013005405350953366,0.0024642036061098826
