Metric,t-statistic,p-value,Significant,Cohen's d,Direction
Accuracy,-6.649553780756647,9.378639646347202e-05,True,-2.102773537097493,LR better
Precision,-14.726608584342966,1.3233807354099563e-07,True,-4.656962533631165,LR better
Recall,19.938752892617465,9.328469224102776e-09,True,6.3051872843941865,RF better
F1,5.156827342020565,0.000597631218944514,True,1.6307319901017114,RF better
ROC-AUC,1.796586866625257,0.10596142638606645,False,0.5681306512880958,RF better
